"apgcode","occurrences"
"gun_6961","38218"
"gun_7001","38208"
"gun_6967","38200"
"gun_6977","38016"
"gun_6959","38009"
"gun_6911","37824"
"gun_9967","37774"
"gun_9929","37572"
"gun_9949","37572"
"gun_7019","37412"
"gun_7027","37412"
"gun_6871","37240"
"gun_2423","37233"
"gun_9871","37185"
"gun_9887","37185"
"gun_9941","37185"
"gun_6833","37056"
"gun_6857","37054"
"gun_6863","37044"
"gun_6997","37026"
"gun_7013","37026"
"gun_9817","36984"
"gun_9833","36984"
"gun_9839","36984"
"gun_9857","36984"
"gun_9923","36984"
"gun_9931","36984"
"gun_6947","36839"
"gun_6971","36839"
"gun_2801","36672"
"gun_6841","36666"
"gun_6823","36660"
"gun_9767","36600"
"gun_9769","36600"
"gun_9791","36600"
"gun_9829","36600"
"gun_9851","36600"
"gun_9859","36600"
"gun_9883","36600"
"gun_6793","36480"
"gun_6949","36456"
"gun_2797","36432"
"gun_9719","36400"
"gun_9721","36400"
"gun_9743","36400"
"gun_9781","36400"
"gun_9803","36400"
"gun_9811","36400"
"gun_2777","36290"
"gun_6761","36290"
"gun_6791","36278"
"gun_6883","36270"
"gun_6899","36270"
"gun_6907","36270"
"gun_6917","36270"
"gun_2789","36234"
"gun_6737","36100"
"gun_2753","36099"
"gun_6719","36099"
"gun_9679","36019"
"gun_9689","36019"
"gun_9697","36019"
"gun_9733","36019"
"gun_9749","36019"
"gun_9787","36019"
"gun_2729","35910"
"gun_6869","35890"
"gun_2467","35880"
"gun_9623","35820"
"gun_9631","35820"
"gun_9649","35820"
"gun_9661","35820"
"gun_9677","35820"
"gun_9739","35820"
"gun_6703","35717"
"gun_6827","35705"
"gun_6829","35705"
"gun_2713","35532"
"gun_6673","35532"
"gun_6689","35532"
"gun_6679","35530"
"gun_2459","35502"
"gun_2749","35476"
"gun_9601","35442"
"gun_9613","35442"
"gun_9629","35442"
"gun_7507","35344"
"gun_2689","35343"
"gun_6803","35328"
"gun_9551","35244"
"gun_9619","35244"
"gun_9643","35244"
"gun_7411","35156"
"gun_7499","35156"
"gun_7523","35154"
"gun_7547","35154"
"gun_6763","35144"
"gun_6779","35144"
"gun_6781","35144"
"gun_2711","35084"
"gun_2657","34968"
"gun_7459","34968"
"gun_7433","34905"
"gun_9479","34869"
"gun_9497","34869"
"gun_9511","34869"
"gun_9521","34869"
"gun_9533","34869"
"gun_9587","34869"
"gun_2633","34782"
"gun_7283","34782"
"gun_7307","34782"
"gun_6577","34780"
"gun_6607","34780"
"gun_7451","34780"
"gun_6733","34770"
"gun_9431","34672"
"gun_9433","34672"
"gun_9439","34672"
"gun_9463","34672"
"gun_9473","34672"
"gun_9539","34672"
"gun_9547","34672"
"gun_7187","34596"
"gun_7219","34596"
"gun_6569","34595"
"gun_7331","34595"
"gun_6599","34592"
"gun_6691","34587"
"gun_6701","34587"
"gun_6709","34587"
"gun_2663","34532"
"gun_7369","34532"
"gun_7457","34532"
"gun_7489","34532"
"gun_2693","34515"
"gun_2609","34410"
"gun_2617","34410"
"gun_6551","34410"
"gun_7211","34410"
"gun_7243","34410"
"gun_2647","34338"
"gun_2677","34338"
"gun_7393","34338"
"gun_9391","34300"
"gun_9421","34300"
"gun_9437","34300"
"gun_9461","34300"
"gun_9467","34300"
"gun_9491","34300"
"gun_6553","34225"
"gun_2593","34224"
"gun_6659","34216"
"gun_7177","34161"
"gun_7297","34161"
"gun_7417","34161"
"gun_7481","34161"
"gun_9337","34104"
"gun_9343","34104"
"gun_9377","34104"
"gun_9397","34104"
"gun_9413","34104"
"gun_9419","34104"
"gun_6529","34040"
"gun_6637","34034"
"gun_6653","34034"
"gun_6661","34034"
"gun_6521","33856"
"gun_7043","33855"
"gun_6481","33852"
"gun_2411","33840"
"gun_7321","33792"
"gun_9311","33735"
"gun_9319","33735"
"gun_9341","33735"
"gun_9349","33735"
"gun_9371","33735"
"gun_9403","33735"
"gun_6473","33670"
"gun_6449","33666"
"gun_6619","33666"
"gun_2473","33652"
"gun_9239","33540"
"gun_9241","33540"
"gun_9257","33540"
"gun_9277","33540"
"gun_9281","33540"
"gun_9293","33540"
"gun_9323","33540"
"gun_6563","33485"
"gun_6571","33485"
"gun_6581","33485"
"gun_7193","33425"
"gun_2311","33306"
"gun_2521","33306"
"gun_2731","33250"
"gun_2551","33234"
"gun_7129","33234"
"gun_2621","33216"
"gun_7351","33196"
"gun_9199","33174"
"gun_9209","33174"
"gun_6547","33120"
"gun_9151","32980"
"gun_9161","32980"
"gun_9181","32980"
"gun_9221","32980"
"gun_9227","32980"
"gun_6367","32940"
"gun_2441","32922"
"gun_2707","32886"
"gun_7121","32870"
"gun_6359","32760"
"gun_2719","32757"
"gun_6491","32757"
"gun_6353","32752"
"gun_2503","32697"
"gun_2699","32697"
"gun_7057","32697"
"gun_7127","32661"
"gun_7159","32661"
"gun_7247","32661"
"gun_7487","32661"
"gun_9103","32617"
"gun_9127","32617"
"gun_9133","32617"
"gun_9137","32617"
"gun_9157","32617"
"gun_9173","32617"
"gun_9187","32617"
"gun_9203","32617"
"gun_6361","32578"
"gun_6451","32578"
"gun_2371","32574"
"gun_2683","32524"
"gun_7517","32524"
"gun_7541","32508"
"gun_9049","32424"
"gun_9109","32424"
"gun_6343","32400"
"gun_3631","32399"
"gun_6469","32399"
"gun_6337","32396"
"gun_6427","32396"
"gun_7477","32336"
"gun_2549","32300"
"gun_2557","32300"
