"apgcode","occurrences"
"guntrue_3457","19832"
"guntrue_3433","19551"
"guntrue_3449","19551"
"guntrue_8731","19180"
"guntrue_4337","18768"
"guntrue_3361","18720"
"guntrue_4297","18632"
"guntrue_8423","18626"
"guntrue_3967","18612"
"guntrue_3943","18496"
"guntrue_4289","18496"
"guntrue_5903","18496"
"guntrue_3371","18460"
"guntrue_8467","18358"
"guntrue_8627","18358"
"guntrue_8707","18358"
"guntrue_8861","18358"
"guntrue_3863","18340"
"guntrue_3347","18330"
"guntrue_4241","18224"
"guntrue_4273","18224"
"guntrue_4217","18221"
"guntrue_3313","18176"
"guntrue_3323","18176"
"guntrue_3329","18176"
"guntrue_5839","18090"
"guntrue_4201","18088"
"guntrue_8539","18088"
"guntrue_8699","18088"
"guntrue_8779","18088"
"guntrue_9241","18088"
"guntrue_9257","18088"
"guntrue_9281","18088"
"guntrue_8167","18084"
"guntrue_2621","18078"
"guntrue_2647","18078"
"guntrue_3331","18070"
"guntrue_3823","18070"
"guntrue_3919","18070"
"guntrue_5743","17956"
"guntrue_5791","17956"
"guntrue_4177","17952"
"guntrue_3307","17940"
"guntrue_3299","17907"
"guntrue_5783","17822"
"guntrue_5879","17822"
"guntrue_5927","17822"
"guntrue_8291","17820"
"guntrue_9137","17820"
"guntrue_9161","17820"
"guntrue_9209","17820"
"guntrue_4153","17816"
"guntrue_2297","17810"
"guntrue_3847","17802"
"guntrue_3911","17802"
"guntrue_2281","17680"
"guntrue_3259","17640"
"guntrue_3271","17640"
"guntrue_8363","17554"
"guntrue_8443","17554"
"guntrue_9049","17554"
"guntrue_2591","17550"
"guntrue_4129","17550"
"guntrue_2557","17544"
"guntrue_4073","17544"
"guntrue_5233","17536"
"guntrue_5273","17536"
"guntrue_5281","17536"
"guntrue_2663","17408"
"guntrue_2671","17408"
"guntrue_3251","17375"
"guntrue_3257","17375"
"guntrue_5119","17360"
"guntrue_5857","17292"
"guntrue_5953","17292"
"guntrue_2731","17290"
"guntrue_4001","17290"
"guntrue_8969","17290"
"guntrue_9001","17290"
"guntrue_9041","17290"
"guntrue_2549","17280"
"guntrue_3767","17272"
"guntrue_5807","17160"
"guntrue_4057","17157"
"guntrue_3191","17112"
"guntrue_3217","17112"
"guntrue_2371","17030"
"guntrue_5711","17030"
"guntrue_5801","17030"
"guntrue_5849","17030"
"guntrue_5897","17030"
"guntrue_2707","17028"
"guntrue_8741","17028"
"guntrue_8747","17028"
"guntrue_8929","17028"
"guntrue_2543","17024"
"guntrue_4049","17024"
"guntrue_2551","17018"
"guntrue_5387","17018"
"guntrue_5443","17018"
"guntrue_3727","17010"
"guntrue_9199","16974"
"guntrue_7691","16940"
"guntrue_5519","16900"
"guntrue_4283","16899"
"guntrue_2699","16864"
"guntrue_3167","16851"
"guntrue_3187","16851"
"guntrue_3203","16851"
"guntrue_3209","16851"
"guntrue_9973","16851"
"guntrue_8311","16848"
"guntrue_5023","16836"
"guntrue_2347","16770"
"guntrue_2683","16768"
"guntrue_8179","16768"
"guntrue_8419","16768"
"guntrue_8849","16768"
"guntrue_3499","16750"
"guntrue_3623","16750"
"guntrue_3719","16750"
"guntrue_4211","16640"
"guntrue_4243","16640"
"guntrue_3163","16592"
